label,timestamp,lineage,run_dir,reward_weight_count
R91,2026-06-03 03:52:11,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_03-52-11_v3_adaptive_cycle_ema_from_20260531_211435_m300_to_800_save25_20260603,59
R92,2026-06-03 00:31:50,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_00-31-50_v3_dense_swing_step_calibrated_from_20260531_211435_m300_to_800_save25_20260603,59
R93,2026-06-03 00:16:27,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_00-16-27_v3_dense_swing_step_shape_progress_from_20260531_211435_m300_to_800_save25_20260603,59
R94,2026-06-02 22:20:11,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_22-20-11_v3_ygate_reverted_headingtight_from_20260531_211435_m300_to_800_save25_20260603,57
R95,2026-06-02 05:00:34,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_05-00-34_v3_tight_gauss_from_20260531_211435_m300_to_800_save25_20260602,57
R96,2026-06-02 04:10:47,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_04-10-47_v3_centerline_heading_gate_continue_m800_to_2000_save25_20260602,57
R97,2026-06-02 03:04:18,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_03-04-18_v3_speed075_step060_centerline_heading_gate_from_20260531_211435_m300_to_800_save25_20260602,57
R98,2026-06-02 02:26:42,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_02-26-42_v3_speed075_step060_centerlinegate_from_20260531_211435_m300_to_800_save25_20260602,57
R99,2026-06-02 01:31:06,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_01-31-06_v3_speed075_step060_rootlat2000_repeat_from_20260531_211435_m300_to_800_save25_20260602,57
R100,2026-06-02 00:57:21,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_00-57-21_v3_speed075_step060_rootlat2000_from_20260531_211435_m300_to_800_save25_20260602,57
R101,2026-06-02 00:35:08,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_00-35-08_v3_speed075_step060_tuned_from_20260531_211435_m300_to_800_save25_20260602,57
R102,2026-06-02 00:06:13,v3,logs/rsl_rl/kbot_forward_flat/2026-06-02_00-06-13_v3_speed075_step060_from_20260531_211435_m300_to_800_save25_20260602,57
R103,2026-06-01 17:19:27,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_17-19-27_v3_speed075_step060_footparallel_m30_from_20260531_211435_m300_to_800_save25,57
R104,2026-06-01 03:16:53,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_03-16-53_v3_speed075_step060_tilt_sym_from_m800_to_2000_save25,57
R105,2026-06-01 02:53:51,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_02-53-51_v3_speed075_step060_tilt_sym_from_20260531_211435_m300_to_800_save25,57
R106,2026-06-01 01:52:31,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_01-52-31_v3_speed075_step060_w100_from_20260531_211435_m300_to_800_save25,54
R107,2026-06-01 01:44:55,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_01-44-55_v3_speed075_step060_w100_no_mirror_halffwd_ycenter_from_latest300_to_800_save25,54
R108,2026-06-01 01:13:17,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_01-13-17_v3_speed075_step060_w100_no_mirror_halffwd_ycenter_from_400_to_800_save25,54
R109,2026-06-01 00:55:59,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_00-55-59_v3_speed075_step060_w100_no_mirror_halffwd_ycenter_from_latest300_to_400_save25,54
